users,request_limit,requests,failures,failure_rate,avg_response_time_ms,min_response_time_ms,max_response_time_ms,requests_per_second,duration_seconds,stopped_reason
1,50,50,0,0.0,669.31,526.777499999298,1354.1576000006899,0.45,111.1,request_limit_reached
10,70,70,4,0.0571,2472.99,682.2069999998348,21016.002300000764,2.22,32.03,request_limit_reached
25,175,176,11,0.0625,5755.16,834.8079000006692,21015.681400000176,3.29,54.05,request_limit_reached
50,350,350,15,0.0429,11695.21,1874.8365999999805,21020.74950000133,3.59,98.06,request_limit_reached
75,525,526,17,0.0323,18751.34,7664.080399999875,25889.123299999483,3.53,149.11,request_limit_reached
100,700,700,23,0.0329,25852.61,13395.423199999641,34428.63110000144,3.54,198.15,request_limit_reached
125,875,876,12,0.0137,33909.59,1303.581000000122,53961.45810000053,3.43,255.21,request_limit_reached
150,1050,263,133,0.5057,42780.28,21006.252299999687,60070.61229999999,3.02,87.07,failure_threshold_reached
