users,request_limit,requests,failures,failure_rate,avg_response_time_ms,min_response_time_ms,max_response_time_ms,requests_per_second,duration_seconds,stopped_reason
1,50,50,0,0.0,524.96,496.34400000013557,707.9579000001104,0.5,101.09,request_limit_reached
10,70,70,0,0.0,3106.77,505.84840000010445,4314.790600001288,2.07,34.03,request_limit_reached
25,175,175,0,0.0,9502.44,2980.0750999984302,11687.0747999983,2.14,82.08,request_limit_reached
50,350,351,0,0.0,20314.58,9536.001399999805,23361.926500001573,2.17,162.13,request_limit_reached
75,525,526,0,0.0,31443.38,20916.676099999677,33626.287900000534,2.18,241.21,request_limit_reached
100,700,701,0,0.0,42765.07,32190.00319999941,45508.535899998606,2.19,320.26,request_limit_reached
1,50,50,0,0.0,567.06,510.27889999932086,1038.1847999997262,0.5,101.1,request_limit_reached
10,70,71,0,0.0,3237.0,776.3599999998405,4690.510500000528,1.99,36.03,request_limit_reached
25,175,175,0,0.0,9766.44,3160.100400000374,12230.443799999193,2.09,84.08,request_limit_reached
50,350,350,0,0.0,20466.71,9657.383200001277,22702.216099998623,2.15,163.14,request_limit_reached
75,525,525,31,0.059,30045.85,21004.317900000387,34042.21740000139,2.27,231.21,request_limit_reached
100,700,700,36,0.0514,40721.68,21004.80410000091,45103.0738999998,2.29,305.27,request_limit_reached
125,875,876,22,0.0251,53686.11,21006.183800000144,57788.822500000606,2.2,397.34,request_limit_reached
150,1050,274,139,0.5073,52580.73,21004.907000000458,60032.42940000018,2.69,102.08,failure_threshold_reached
