users,request_limit,requests,failures,failure_rate,avg_response_time_ms,min_response_time_ms,max_response_time_ms,requests_per_second,duration_seconds,stopped_reason
1,50,50,0,0.0,527.52,492.685100000017,703.8522000002558,0.49,102.09,request_limit_reached
10,70,71,5,0.0704,2322.42,516.4752999990014,21015.789400000358,2.3,31.02,request_limit_reached
25,175,178,16,0.0899,5875.34,604.6181000001525,21015.36290000149,3.18,56.04,request_limit_reached
50,350,350,36,0.1029,12891.05,4971.989100000428,21018.570600001112,3.27,107.08,request_limit_reached
75,525,525,12,0.0229,22163.38,14341.144400001212,25624.117600000318,3.04,173.13,request_limit_reached
100,700,702,29,0.0413,29469.68,2665.513899999496,58541.95240000081,3.11,226.17,request_limit_reached
125,875,875,57,0.0651,37656.62,11414.077800000086,60003.3168000009,3.13,280.26,request_limit_reached
150,1050,1051,65,0.0618,45494.1,11747.12399999953,60003.39420000091,3.12,337.27,request_limit_reached
175,1225,1229,583,0.4744,43165.22,4833.857199999329,67037.50459999901,3.89,316.22,request_limit_reached
200,1400,20,12,0.6,39465.05,21005.33059999907,60031.18530000029,4.1,5.0,failure_threshold_reached
