users,request_limit,requests,failures,failure_rate,avg_response_time_ms,min_response_time_ms,max_response_time_ms,requests_per_second,duration_seconds,stopped_reason
1,50,50,0,0.0,597.0,549.0504999979748,904.9005999986548,0.49,103.09,request_limit_reached
10,70,71,5,0.0704,2765.66,589.4860000007611,21016.839199997776,2.16,33.03,request_limit_reached
25,175,176,17,0.0966,8403.37,2300.1104000031773,21016.116599999805,2.38,74.05,request_limit_reached
50,350,350,38,0.1086,17760.09,8273.977599998034,21499.446500001795,2.43,144.11,request_limit_reached
75,525,526,27,0.0513,29810.87,20560.998100001598,34079.3597999982,2.29,230.17,request_limit_reached
100,700,701,21,0.03,41694.88,21005.63489999695,45176.5278999992,2.24,313.26,request_limit_reached
125,875,875,30,0.0343,52547.01,21005.283400001645,57107.97239999738,2.25,388.31,request_limit_reached
150,1050,275,138,0.5018,52770.94,21005.938300000707,60038.14590000184,2.67,103.09,failure_threshold_reached
