users,request_limit,requests,failures,failure_rate,avg_response_time_ms,min_response_time_ms,max_response_time_ms,requests_per_second,duration_seconds,stopped_reason
1,50,50,1,0.02,1020.38,563.1050000010873,21028.55450000061,0.4,125.1,request_limit_reached
10,70,70,2,0.0286,2452.18,730.9222000003501,21015.717499998573,2.43,29.03,request_limit_reached
25,175,175,14,0.08,5224.23,1089.8914999997942,21016.725500001485,3.56,50.03,request_limit_reached
50,350,351,30,0.0855,11334.43,1403.521099997306,21024.039699997957,3.64,97.06,request_limit_reached
75,525,525,29,0.0552,18574.62,1296.1776000011014,31392.974700000195,3.57,147.12,request_limit_reached
100,700,701,21,0.03,26244.12,1410.9644999989541,60002.77930000084,3.48,202.14,request_limit_reached
125,875,875,379,0.4331,36520.39,1582.4764000026335,60285.4703999983,3.18,275.21,request_limit_reached
150,1050,12,12,1.0,27511.02,21005.52450000032,60023.1789999998,2.77,5.0,failure_threshold_reached
