users,request_limit,requests,failures,failure_rate,avg_response_time_ms,min_response_time_ms,max_response_time_ms,requests_per_second,duration_seconds,stopped_reason
1,50,50,0,0.0,600.41,556.5120000028401,1370.5479000018386,0.49,102.11,request_limit_reached
10,70,70,0,0.0,2865.22,809.8626999999397,3983.1594999996014,2.14,33.02,request_limit_reached
25,175,177,0,0.0,9137.55,2492.16190000152,10781.617900000128,2.21,80.07,request_limit_reached
50,350,350,0,0.0,19804.12,9466.401300000143,21971.640200001275,2.21,158.12,request_limit_reached
75,525,526,0,0.0,31066.21,20770.521700000245,33267.62690000032,2.21,238.2,request_limit_reached
100,700,700,0,0.0,42485.29,32082.834799999546,44785.97680000166,2.2,318.26,request_limit_reached
125,875,876,0,0.0,53632.13,43235.329700000875,56165.16290000072,2.21,396.3,request_limit_reached
150,1050,278,139,0.5,57585.82,54329.52029999797,60060.15019999904,2.34,119.11,failure_threshold_reached
